State,FunctionalCategory,AgencyOrDivision,Title,Description,Format,Link,,,
Delaware,Disability/Insurance,Dept. of Human Resources,Short-Term Disability Insurance Payroll Checklist & Claim,PDF fillable letter and checklist for HR/Payroll to advise and document employee disability claim process/requirements.,PDF,https://dhr.delaware.gov/benefits/disability/documents/dip-hr-payroll-checklist.pdf,,,
Delaware,Disability/Benefits,Dept. of Human Resources,Disability Wallet Card - Short Term Disability Claim,"Quick-guide wallet card for filing benefits by disability program, for workers needing accommodations or absence management.",PDF,https://dhr.delaware.gov/benefits/disability/documents/wallet-card.pdf,,,
Delaware,Disability/Developmental Services,Division of Developmental Disabilities Services,Application for Developmental Disabilities Services,"Online/app-based form (not direct PDF)—directory and support links for rehab, respite, vocational, adult, and child disability programs.",HTML,https://scpd.delaware.gov/brainToolkit/biResources/index.shtml,,,
Delaware,Benefits/Authorization,Dept. of Revenue,Authorization to Release Tax Information,"Releases tax data to 3rd party (lawyer, rep, relative, agency); required for social service appeals, ADA accommodation, and state/federal cross-filings.",PDF,https://revenuefiles.delaware.gov/docs/tax_info_release.pdf,,,
Delaware,Workforce/Business,Division of Small Business,Workforce Training Grant Application,PDF application for employers/organizations to request workforce training grants for new/innovative programs (target: workforce/diversity/disability inclusion).,PDF,https://business.delaware.gov/wp-content/uploads/sites/118/2018/09/Division-of-Small-Business-Workforce-Training-Grant-Application-Form_NEW.pdf,,,
Delaware,FOIA/Open Records,State of Delaware,FOIA Request Form,"Freedom of Information Act request for transparency, including disability records and community accommodations.",PDF,https://delaware.gov/forms/foia_request_form.pdf,,,
Delaware,Public Records Management,Public Archives,Transfer Document Form,"MS Word form for documenting transfers to/from Delaware Public Archives, used by agencies and for evidence/document control (remediation target due to .doc format).",DOC,https://archivesfiles.delaware.gov/gov-services/Transfer_Document_Form.doc,,,
Delaware,HR/Payroll,Office of Management & Budget,PHRST Payroll Request Form,"MS Word payroll form for employee pay actions, FMLA, disability, or benefits requests—flagged for remediation.",DOC,https://employeeselfservice.omb.delaware.gov/information/forms/p8110-dd-form.doc,,,
Delaware,Elections,Secretary of State,Supply Order Form for Election Services,MS Word form for election offices to order accessible equipment/supplies (flagged for accessibility remediation).,DOC,https://portal.ct.gov/-/media/SOTS/ElectionServices/ElectForms/electforms/SUPPLY-ORDER-FORM.doc,,,
Delaware,Child Welfare/IT Access,Dept. of Services for Children,Youth & Families,User Access Form for Contractors (FOCUS System),DOCX,https://kidsfiles.delaware.gov/docs/dscyf-focus-user-access-form-contractor.docx,,,
Florida,Disability Retirement,Florida Retirement System,Disability Retirement Application Packet,"Comprehensive PDF packet including application, medical, and employer certification for all public sector workers.",PDF,https://frs.fl.gov/forms/disability-packet_pp.pdf,,,
Florida,Disability Retirement (Investment),Florida Retirement System,Investment Plan Disability Retirement Application,"Forms for investment-plan members to apply for total/permanent disability, employer and physician verification attached.",PDF,https://frs.fl.gov/forms/disability-packet_ip.pdf,,,
Florida,DMV/Disability,Dept. of Highway Safety & Motor Vehicles,Motor Vehicle & Disability Parking Permit Forms,"Portal for all DMV, vehicle, and disability parking credential forms—searchable and downloadable in PDF.",PDF,https://www.flhsmv.gov/resources/forms/,,,
Florida,Tax,Dept. of Revenue,Withholding Request for Change Form,"Request to change state tax withholding for disability, retirement, or employment status change; includes signature block.",PDF,https://revenuefiles.delaware.gov/docs/withholding_req.pdf,,,
Florida,Public Records/Disability,Statewide,FOIA/Public Records Forms,"Central request/authorization forms covering ADA, disability, and program access issues (flagged page includes records request doc).",PDF,https://delaware.gov/forms/foia_request_form.pdf,,,
Florida,Retirement/Beneficiaries,Florida Retirement System,Retired Member and DROP Beneficiary Designation Form,"Pension plan beneficiary update for all retirees, including those with disability status; PDF file, not fillable.",PDF,https://frs.fl.gov/forms/fst-12.pdf,,,
Florida,Elections,Division of Elections,Voter Registration Preference Form,"Official Florida voter registration preference form; covers accessible voting, signature certification, and polling arrangements.",PDF,https://dos.fl.gov/media/708048/form-ds-de-77.pdf,,,
Florida,Historic Preservation,Division of Historical Resources,"Master Site File Recording Forms—Resource/Structure/Historic Bridge, etc.","Complete set of state’s historic, archaeological, and architectural survey forms—PDFs, some ZIP for batch digital/fillable forms.",PDF/ZIP,https://dos.fl.gov/historical/preservation/master-site-file/documents-forms/,,,
Florida,Records/Archives,Dept. of State,Records Inventory Worksheet,MS Word worksheet for government organizations to inventory/track documents; accessibility remediation priority.,DOC,https://test.info.florida.gov/media/31065/records-inventory-worksheet.doc,,,
Florida,Records/Archives,Dept. of State,Request for Return of Reference Service Form,MS Word form for requesting re-filing or return of government records and archives.,DOC,https://dos.fl.gov/media/31077/return-of-reference-request206.doc,,,
Florida,Small Grants/Historic,Division of Historical Resources,Small Matching Grant Application,DOCX application for preservation funding/grants—requires accessibility upon intake and for applicant guidance.,DOCX,https://dos.fl.gov/media/702673/redline_small-matching-grant-application_1102020.docx,,,
Georgia,Disability Retirement,Employees' Retirement System of Georgia,Disability Retirement Application,"Multi-section claims packet for state employee disability retirement; required for eligibility, medical, and employer documentation.",PDF,https://www.ers.ga.gov/sites/main/files/file-attachments/ers_disability_retirement_application_final_complete.pdf?1737038356,,,
Georgia,Disability/Driver's License,Dept. of Driver Services,Application for Placement of Medical/Disability Information on License/Permit/ID,"Form for adding disability/medical info to state ID/documents; includes medical, applicant, and provider certification.",PDF,https://dds.georgia.gov/document/form/license-medical-disability-form/download,,,
Georgia,Disability/Insurance,Dept. of Admin Services,Long Term Disability Claim Form - Employee Statement,"Detailed claim form for public employee disability insurance; includes sections for employer, dependent, and physician/compliance details.",PDF,https://doas.ga.gov/sites/default/files/2025-02/GA%20FR%20PTSD%20Long%20Term%20Disability%20Claim%20Form%20Employee%20Statement.pdf,,,
Georgia,SNAP/TANF/Medical DFCS,DFCS Reasonable Modifications & Communication Assistance Request,"RMA fillable form for requesting accommodations (modifications, aides, sign interpreters, assistive tech) across public benefits programs.",,PDF,https://dfcs.georgia.gov/document/document/3-3-22-rmrf-english-large-print/download,,,
Georgia,Disability/Medical,Medical Board,Separation Notice & Certificate of Education Forms for PAs,PDF forms for PA/physician assistants to report employment separation or provide required education certification to state boards.,PDF,https://medicalboard.georgia.gov/document/form-h-separation-notice/download,,,
Georgia,Paternity,Child Support Services,Paternity Acknowledgement Form (3940),"Fillable form for legal paternity, supports child welfare, disability, and support program compliance.",PDF,https://childsupport.georgia.gov/document/document/paternity-acknowledgement-form-3940pdf/download,,,
Georgia,Labor/Unclaimed Property,Dept. of Revenue,Corporate Entities Annual Unclaimed Property Report,"Annual unclaimed property report for all corporations with detailed instructions. Supports accessibility remediation (large corporations, estate, disability).",PDF,https://dor.georgia.gov/document/form/holder-forms-and-instructions-corporate-entities/download,,,
Georgia,Environmental,Environmental Protection Division,Document Submittal Form,Accompanying info form for Brownfield/VRP document submittals for remediation/environmental accessibility.,PDF,https://epd.georgia.gov/document/document/documentsubmittalform/download,,,
Georgia,Transportation/Contracting,Dept. of Transportation,Request for Approval of 2nd Tier Subcontract (Form DOT 485),"MS Word DOC; form for contractors participating in state/federal DOT projects, requiring accessibility compliance in contracting.",DOC,https://www.dot.ga.gov/PartnerSmart/Business/Forms/485-A-fill-in.doc,,,
Georgia,Gov/City Services,Community Affairs,SDS FORM 5 – Service Delivery Strategy Agreement,"DOTX template for cities/counties to share compliance, eligibility, disability access, and multi-agency coordination (remediation priority).",DOTX,https://www.dca.ga.gov/sites/default/files/sdsform5.dotx,,,
Georgia,Legislative/Communication,Georgia House,Press Release Request Form,DOCX form for legislative press releases; targets accessible content/remediation in government communications.,DOCX,https://www.house.ga.gov/mediaServices/Documents/MEMBER_PRESS_RELEASE_REQUEST_FORM.docx,,,
Georgia,Social Services/Tax,DFCS,Tax Compliance Form,MS Word form for tax compliance affirmation in state contracting and procurement processes.,DOC,https://dfcs.georgia.gov/sites/dfcs.georgia.gov/files/related_files/site_page/Tax%20Compliance%20Form.doc,,,
Hawaii,Disability/Medical Certification,Dept. of Agriculture,ADA Medical Certification Form,Form for health professionals to certify eligibility for ADA accommodations and communicate with employer/school.,PDF,https://hdoa.hawaii.gov/wp-content/uploads/2021/08/Attachment-C-ADA-Medical-Certification-Form.pdf,,,
Hawaii,Disability Parking,Disability & Communication Access Board,Disability Paid Parking Exemption Permit/DPPEP (PA-3),Application for disability placard/paid parking permit; requires medical certification and identification.,PDF,https://health.hawaii.gov/dcab/files/2023/04/2024-01-PA3-Form.pdf,,,
Hawaii,Disability/Medicaid,Med-QUEST,Medical History and Disability Statement (DHS 1127),"Comprehensive disability application for Medicaid/health services; includes detailed health, disability, and SSDI questions.",PDF,https://medquest.hawaii.gov/content/dam/formsanddocuments/provider-forms/1127-medical-history-and-disability-statement/DHS_1127_Form_Rev_10_2022.pdf/jcr:content?type=pdf&process=,,,
Hawaii,Disability/Employment,Dept. of Labor & Industrial Relations,Health Care Coverage Questionnaire (HC-4),Employers report health coverage for disability/comp workers; accommodation and auxiliary aids/TTY numbers included.,PDF,https://labor.hawaii.gov/dcd/files/2023/05/HC4-rev-2025.03.pdf,,,
Hawaii,Vocational Rehabilitation,Dept. of Human Services,Application for Vocational Rehabilitation Services,"Eligibility and initial application for state VR programs; includes detailed disability, employment, and support needs fields.",PDF,https://humanservices.hawaii.gov/vr/files/2024/08/DHS-2641-Application-for-Vocational-Rehabilitation-Services.pdf,,,
Hawaii,Workforce/Labor,Workforce Development Division,Voluntary Worker Survey (Rapid Response),Employment and job-seeker survey as part of state workforce rapid response program. Includes accessibility and alternate format notes.,PDF,https://labor.hawaii.gov/ui/files/2012/12/RR-survey-form.pdf,,,
Hawaii,Wage/Disability Comp,Dept. of Labor & Industrial Relations,WC-14 Employee’s Wage Report,"Wage reporting for all disability compensation programs, used for calculating disability benefit levels.",PDF,https://labor.hawaii.gov/dcd/files/2012/11/WC-14.pdf,,,
Hawaii,Wildlife Rehabilitation,Division of Forestry & Wildlife,Wildlife Rehabilitation Permit Application,"Application for permit to possess/treat wildlife for rehabilitation; includes eligibility, certification, and accessibility notes.",PDF,https://dlnr.hawaii.gov/dofaw/files/2021/08/Wildlife-Rehabilitation-Permit-Application.pdf,,,
Hawaii,Health/Adverse Events,Developmental Disabilities Division,Adverse Events Report Form (AER),DOCX format adverse event report for persons served in the developmental disabilities system; remediation priority.,DOCX,https://health.hawaii.gov/ddd/files/2022/07/AER-Form-28-3-revised-06.22-FINAL-protected-fillable.docx,,,
Hawaii,Background/Employment Checks,BESSD,Dept. of Human Services,Consent to Release for Background Clearances,DOC,https://humanservices.hawaii.gov/bessd/files/2016/09/DHS-948-Consent-to-Release-for-Background-Clearances-9-2016-DHS-Website.doc,,,
Hawaii,Workforce/Training,Workforce Development Division,ETF Employer Referral Forms and Instructions,PDF packet for employers seeking training subsidies; includes alternate format and ADA accessibility statements.,PDF,https://labor.hawaii.gov/wdd/files/2024/04/ETF-Employer-Referral-Forms-and-Instructions-Fillable-Rev.-April-2024.pdf,,,
Hawaii,Gov Procurement/Certification,Dept. Human Resources,Renewal Certification Statement for Procurement,DOCX form for procurement-related renewal of certification (compliance/remediation priority in public contracts).,DOCX,https://dhrd.hawaii.gov/wp-content/uploads/2012/10/HRD282R_.docx,,,
Idaho,Disability/Medical,Department of Fish & Game,Certification of Permanent Disability,For resident licensed fishing/hunting; requires physician/PA/NP certification—legal/statutory language and eligibility explained.,PDF,https://idfg.idaho.gov/sites/default/files/form-disability-permanent-certification.pdf,,,
Idaho,Disability/Legal,Idaho State Bar,Learning Disability Accommodation Request (RA Form C),"Form for attorney exam accommodations, must have clinical psychologist or physician attestation for disability claim.",PDF,https://isb.idaho.gov/wp-content/uploads/ra_form_c_learning_disability.pdf,,,
Idaho,Workforce/Development,Workforce Development Council,Workforce Guidance Council Packet,"Contains guidance, applications, documentation, and context—emphasizes disability access/participation, program documentation.",PDF,https://wdc.idaho.gov/wp-content/uploads/2022/10/Council-Packet-12-16-21.pdf,,,
Idaho,Rehabilitation,Division of Vocational Rehabilitation,Community Rehabilitation Programs Manual,"Manual covering program rules, eligibility, forms—intake, guidance, report templates for state vocational/rehab providers.",PDF,https://vr.idaho.gov/wp-content/uploads/2024/CRP_Uploads/CRP_Manual-v.-2.3-November-2024.pdf,,,
Idaho,Education/Special Needs,State Department of Education,Sample Restraint and Seclusion Reporting,"DOCX example for school districts to report/describe restraint of students—accessibility notes, federal/state compliance focus.",DOCX,https://www.sde.idaho.gov/wp-content/uploads/2025/06/Sample-Restraint-and-Seclusion-Reporting-Form.docx,,,
Idaho,Transportation/Auto,Idaho Transportation Department,Application for Certificate of Title (ITD 3337),"Electronic or paper form for titling vehicles; designed for electronic submission/printing, accessible field structure.",PDF,https://itd.idaho.gov/wp-content/uploads/2016/06/3337.pdf,,,
Idaho,Legal/Judicial,Idaho Supreme Court/GAL,Sample Permanency Report - Guardian ad Litem,MS Word sample form/guide for child/family law cases—used by attorneys and social workers for accessibility/remediation.,DOC,https://isc.idaho.gov/gal/forms/permanency_report-affadavit.doc,,,
Idaho,Legal/Criminal,Idaho Supreme Court,Complaint Form - Idaho State Police,"DOC format; accessible, field-based complaint form for use by public for discrimination, excessive force, or ADA issues.",DOC,https://isp.idaho.gov/wp-content/uploads/Districts/EHF-03-02-01-Complaint-Form.doc,,,
Idaho,Human Resources,Department of Human Resources,Classification Review Request Form,"State employees/applicants request classification changes, ADA or medical accommodation requests included.",PDF,https://dhr.idaho.gov/classification-review-request-form_updated/,,,
Idaho,Legal/Process Service,Department of Corrections,Process Service Documentation,DOCX form for legal/law enforcement use when documenting legal service of process/access; includes accessibility statement.,DOCX,https://forms-idoc.idaho.gov/WebLink/0/edoc/281918/Process%20Service%20Documentation%20Form.docx,,,
Illinois,Disability/Workforce,Dept. of Employment Security,Application for Disability Benefits and Unemployment,"Comprehensive packet for Illinois workers seeking disability and/or unemployment payments, includes physician certification.",PDF,https://www2.illinois.gov/ides/IDES%20Forms%20and%20Publications/CLI101.pdf,,,
Illinois,Disability/Legal,Secretary of State,Verification for Persons with Disabilities Parking Placard,"Physician-completed form to certify medical disability for accessible parking privileges, available as fillable PDF.",PDF,https://www.cyberdriveillinois.com/publications/pdf_publications/vsd62.pdf,,,
Illinois,Disability/Vocational,Dept. of Human Services,Vocational Rehabilitation Application Packet,"Full intake/eligibility PDF for state VR programs covering all major disability types—accommodations, interpreter, alternate formats.",PDF,https://www.dhs.state.il.us/OneNetLibrary/27897/documents/Forms/VR/IL444-4028.pdf,,,
Illinois,Health/Insurance,Dept. of Insurance,Medicare Supplement Policyholder Complaint,Paper/PDF complaint form for medical insurance or disability insurance issues with external carrier.,PDF,https://insurance.illinois.gov/Applications/ComplaintForms/MedSupCompForm.pdf,,,
Illinois,Legal/Access,Governor's Office,ADA Grievance Form for State Services,"PDF/HTML fill-in, covers all ADA program grievances for state services, employment, public accommodations, electronic/IT accessibility. Online and printable.",PDF,https://www2.illinois.gov/sites/gac/Documents/ADA%20Grievance%20Form.pdf,,,
Illinois,Disability/Child Benefits,Dept. of Human Services,Request for Reasonable Accommodation in Child Support,"Request for ADA modifications form for custodial/non-custodial parents; covers physical access, interpreters, alternate document formats.",PDF,https://www.dhs.state.il.us/OneNetLibrary/27897/documents/Forms/IL444-3886.pdf,,,
Illinois,Transportation/Paratransit,Secretary of State,Public Paratransit Application,MS Word form for paratransit services for persons with disabilities; requires provider/agency completion. Remediation priority.,DOC,https://www.cyberdriveillinois.com/publications/pdf_publications/vsd622c.pdf,,,
Illinois,Employment/Personnel,Dept. of Central Management Services,CMS100 Employment Application,"The statewide employment application (fillable accessible PDF)—used for any state job candidate, includes disability accommodations checklist.",PDF,https://www2.illinois.gov/cms/Documents/CMS100.pdf,,,
Illinois,Education/SpecialEd,Board of Education,IEP Parent Notification and Consent Forms,"PDF book with all latest (2024) IEP/child special education eligibility, parent rights, interpreter/translation referrals.",PDF,https://www.isbe.net/Documents/IEP_Parent_Notification_Forms.pdf,,,
Illinois,Disability/Interpreter,Dept. of Human Services,Interpreter Services Agreement,DOCX agreement for qualified interpreters contracting with state disability programs; accessibility for contracts/support.,DOCX,https://www.dhs.state.il.us/OneNetLibrary/27897/documents/Forms/IL444-3890-S.docx,,,
Indiana,Disability/Developmental,Family & Social Services Admin,Bureau of Developmental Disabilities Intake Application,"Fillable PDF—central form for intake into services, overlays medical, eligibility, and support in a single document.",PDF,https://www.in.gov/fssa/files/BDDS_Intake.pdf,,,
Indiana,Disability/Workforce/Labor,Dept. of Workforce Development,UC-1 Employer’s Notice of Potential Chargeback Disability/UC,Printable PDF for employers to report potential unemployment and disability benefit claims with full accommodation guidance.,PDF,https://www.in.gov/dwd/files/UC1.pdf,,,
Indiana,Disability/Medical,Family & Social Services Admin,Medical Review Team Disability Determination,Fillable PDF for use when DSS requests state-level disability determination for public benefits.,PDF,https://secure.in.gov/apps/fssa/disabilityfundingforms/disabilityreview.aspx,,,
Indiana,Disability/Legal,State Personnel Dept.,ADA Reasonable Accommodation Request,"Fillable PDF/HTML for state employees or jobseekers; offers alternate formats, interpreter scheduling, and accessibility specifications for all state jobs.",PDF,https://www.in.gov/spd/files/State%20of%20Indiana%20ADA%20Reasonable%20Accommodation%20Form.pdf,,,
Indiana,Disability/Education,Dept. of Education,Pre-Employment Transition Intake (Voc. Rehab Students),PDF for students with disabilities to begin pre-employment and job skills training requests. Accessible for screen readers.,PDF,https://www.in.gov/vr/files/Student_Intake_Form.pdf,,,
Indiana,Workforce,Dept. of Workforce Development,Workforce Services Program Eligibility Application,"Central PDF for all employment, retraining, and labor support services; substantial accommodation section for disabilities.",PDF,https://www.in.gov/dwd/files/Service_Eligibility_Application.pdf,,,
Indiana,Disability/DMV,Dept. of Motor Vehicles,Application for Disability Parking Placard or License Plates,MSWord DOC form for individuals and providers to submit official parking/disability placard applications. Remediation priority.,DOC,https://www.in.gov/bmv/files/State_Form_42070.doc,,,
Indiana,Vocational Rehabilitation,Family & Social Services Admin,Personal Identification for VR Clients,MS Word/DOCX verification/identification document required for VR eligibility.,DOC,https://www.in.gov/fssa/files/VR-Personal-Identification.docx,,,
Iowa,Disability/Medical,POLICY & PROCEDURE,Disability Report for Medical/Psychological Review,"PDF with physician and psychologist statements for access, public benefit, or rehabilitation claim eligibility.",PDF,https://dhs.iowa.gov/sites/default/files/470-2486.pdf,,,
Iowa,Workforce/Disability,Workforce Development,Job Accommodation Request (WIOA/State/VR),"Fillable PDF state-approved accommodations form for any employment, workforce, or training provider. Accessibility options explicit.",PDF,https://www.iowaworkforcedevelopment.gov/sites/search.iowaworkforcedevelopment.gov/files/job-accommodation-request.pdf,,,
Iowa,Vocational Rehabilitation,Dept. for the Blind,Participant Application for Employment Assistance,DOC application packet for people with blindness/visual disabilities to access employment services (WIOA/VR/Title I). Remediation priority.,DOC,https://blind.iowa.gov/sites/default/files/documents/23/10/dsb-application-employment.dot,,,
Iowa,Disability/Health,Dept. of Public Health,Adult Health History/Disability Record,Fillable disability/medical record for adults; explicit privacy/ADA fields for state benefits and court-mandated services.,PDF,https://idph.iowa.gov/Portals/1/Files/ADULT%20HEALTH%20HISTORY%20FORM.pdf,,,
Iowa,Education/SpecialEd,Dept. of Education,IEP/Section 504 Parent Consent and Eligibility Forms,"PDF forms, state-wide, for parents of children seeking IEP or Section 504 service eligibility. Accessibility tags included.",PDF,https://educateiowa.gov/sites/default/files/documents/ParentConsent_IEPSection504.pdf,,,
Iowa,DMV/Disability,Dept. of Transportation,Application for Persons With Disabilities Parking Permit,"Main parking permit form for Iowa residents—fillable, screen-reader accessible.",PDF,https://iowadot.gov/mvd//forms/411055.pdf,,,
Iowa,Judicial/Disability,Judicial Branch,ADA Accommodation Request (State Courts),Printable court-request ADA request for all public-facing court services.,PDF,https://www.iowacourts.gov/static/media/cms/ADA_Accommodation_Request_Form_29E01DE6C67F9.pdf,,,
Iowa,Disability/Child Welfare,Dept. of Human Services,Family & Children's Disability Intake/Referrals,"Full packet for disability classification in child/family services (DOC), remediation priority.",DOC,https://dhs.iowa.gov/forms/Disability-Referral-Form.doc,,,
Kansas,Disability/Workforce,Dept. for Children & Families,Pre-Employment Transition Intake Application,"Central disability/transition application for VR, workforce, and training supports.",PDF,https://www.dcf.ks.gov/services/Rs/Documents/SRC%20Forms/Pre-Employment%20Transition%20Services%20Referral%20Form.pdf,,,
Kansas,Disability Services,/Medicaid/Special Needs,Dept. for Aging & Disability Services,Medical Necessity/Disability Certification,PDF,https://kdads.ks.gov/docs/default-source/General-Provider-Pages/DD-Home-and-Community-Based-Services-(HCBS)/Forms/Disability_Determination_Form.pdf,,,
Kansas,Legal/Disability,Judicial Branch,ADA Accommodation/Access Request (Courts),"Printable and online official accommodation request for court users, legal professionals, and public accommodations. Strong accessibility fields.",PDF,https://www.kscourts.org/KSCourts/media/KsCourts/Public/ADA-Accommodation-Request-Form.pdf,,,
Kansas,Disability/DMV,Dept. of Revenue,Disabled Parking Application/Placard/Vehicle Registration,"Fillable all-in-one parking placard, vehicle registration, and medical eligibility packet; covers all Kansas residents.",PDF,https://www.ksrevenue.org/pdf/mobility.pdf,,,
Kansas,Vocational Rehabilitation,Dept. for Children & Families,Employment Services Application,Printable or DOC employment/rehabilitation eligibility intake; Ada formats and alternate languages available.,DOC,https://www.dcf.ks.gov/services/Rs/Documents/RS%20Forms/Employment_Services_Application.doc,,,
Kansas,Education/SpecialEd,Dept. of Education,IEP/Section 504 Forms,"Statewide IEP/504 eligibility and procedural forms, updated for 2025.",PDF,https://www.ksde.org/Portals/0/SES/forms/IEP_Section504_Form.pdf,,,
Kansas,Disability/HR/Personnel,Dept. of Administration,Reasonable Accommodation Request (Internal Personnel Only),"Fillable PDF for state employee disability accommodations; scheduling, interpreter, or tech modifications.",PDF,https://admin.ks.gov/docs/default-source/ps/forms/ps-14.pdf,,,
Kentucky,Disability/Workforce,Workforce Development Cabinet,Eligibility Verification—Disability/Training Providers,"PDF, WIOA/state adult program; covers eligibility for workforce or VR services.",PDF,https://kcc.ky.gov/Training-and-Employment/SiteAssets/Pages/Provider-Forms/DisabilityCertification.pdf,,,
Kentucky,Disability/Medical,Department for Medicaid Services,Disability Medical Certification Form,"PDF for Medicaid, state employment, or benefits (doctor-completed).",PDF,https://chfs.ky.gov/agencies/dms/member/Documents/disabilitycert.pdf,,,
Kentucky,Vocational Rehabilitation,Office of Vocational Rehabilitation,Intake Application for VR Services,Fillable PDF plus parent/guardian docs for special needs applicants.,PDF,https://kcc.ky.gov/vocational-rehabilitation/Documents/VRIntakeApplication.pdf,,,
Kentucky,Disability/Legal,Administrative Office of the Courts,ADA Accommodation Request for Court Users,Court system accommodation request for persons with disabilities; printable and electronic signature fields.,PDF,https://kycourts.gov/Legal-Forms/ACD-28.pdf,,,
Kentucky,Education/SpecialEd,Dept. of Education,Arc Submission and Prior Written Notice—IEP,"Parent/teacher ARC submission for students with disabilities, covers all IDEA and 504 legal issues.",PDF,https://education.ky.gov/specialed/IEP/Forms/IEP_ARC_Form.pdf,,,
Kentucky,DMV/Disability,Transportation Cabinet,Disabled Person’s Parking Affidavit,"Application for accessible parking placards, wheelchair/scooter spaces, etc.; fillable field structure.",PDF,https://transportation.ky.gov/Organizational-Resources/Forms/TC%2094-204.pdf,,,
Kentucky,Workforce/UI,Office of Unemployment Insurance,Unemployment Benefits Claim Application,"UI application, ADA/alternate formats notice at top, fillable and online options.",PDF,https://kcc.ky.gov/career/Unemployment-Insurance/Documents/Unemployment%20Insurance%20Application.pdf,,,
Kentucky,Legal/Elder/Benefit,Dept. of Aging & Independent Living,"Legal Services Intake—Elder, Disabled, Low-Income","DOCX intake for low-income, senior, and persons with disabilities regarding elder law, protective orders, and appeals.",DOCX,https://chfs.ky.gov/agencies/dail/Documents/LegalServicesIntakeForm.docx,,,
Louisiana,Disability/Workforce,Louisiana Workforce Commission,Disability/Unemployment Application,"State UI and disability claims, alternate formats available via request.",PDF,https://www.laworks.net/Downloads/Forms/UI-3_Application.pdf,,,
Louisiana,Disability/Medical,Dept. of Health,Medical Eligibility for Disability Services,"Intake and medical provider forms for Medicaid, SNAP, and disability public benefit programs.",PDF,https://ldh.la.gov/assets/docs/medicaid/servicesso.pdf,,,
Louisiana,Vocational Rehabilitation,Dept. of Health-Vocational Rehab,Application for VR Services,"Disability documentation, intake, and employment service forms in PDF format.",PDF,https://ldh.la.gov/assets/VR/vr_application.pdf,,,
Louisiana,Disability/Legal,Office for Citizens with Developmental Disabilities,Request for Accommodation—Public Agency,"PDF, fillable for ADA, interpreter, alternate format, or grievance/complaint process.",PDF,https://ldh.la.gov/assets/ocdd/ADA_Accommodation_Request_Form.pdf,,,
Louisiana,DMV/Disability,Office of Motor Vehicles,Disabled Person’s Parking Affidavit,Printable application for handicapped/disabled parking privileges in Louisiana.,PDF,https://www.dps.louisiana.gov/OMVForms/DisabilityParkingAffidavit.pdf,,,
Louisiana,Education/SpecialEd,Dept. of Education,IEP/504 Accommodations Forms,Packet for special education and Section 504 disability service eligibility.,PDF,https://www.louisianabelieves.com/docs/default-source/teacher-toolbox-resources/special-education-section-504-form.pdf,,,
Louisiana,Workforce/Labor,Dept. of Labor,Workforce Employment Application,Electronic fillable UI/workforce training application for persons with disabilities.,PDF,https://www.laworks.net/Downloads/Forms/UI-3B_Application.pdf,,,
Louisiana,Legal/Elder,Dept. of Health-Aging Services,Legal Services Intake—Elder/Disabled,"DOCX intake for elder law, legal aid, and disability benefit assessments (remediation priority).",DOCX,https://ldh.la.gov/assets/docs/Aging_Services/LegalIntakeForm.docx,,,
Maine,Disability/Medical,Dept. of Health & Human Services,Disability Determination for Medical Assistance,"PDF for eligibility in MaineCare/Medicaid, accessible for persons with physical/mental disabilities.",PDF,https://www.maine.gov/dhhs/forms/disability-determination.pdf,,,
Maine,Disability/Workforce,Dept. of Labor,Workforce/Unemployment Application,"Application for Maine Workforce Services, UI, and ADA accommodation requests.",PDF,https://www.maine.gov/labor/forms/unemployment-application.pdf,,,
Maine,Vocational Rehabilitation,Division of Vocational Rehabilitation,VR Services Intake Application,"Fillable VR packet for individuals with disabilities (adults, youth, special needs).",PDF,https://www.maine.gov/rehab/forms/VRIntake.pdf,,,
Maine,Disability/Legal,Judicial Branch,ADA Accommodation Request (Courts/Public),"Fillable ADA request for court access, interpreter, and alternate formats.",PDF,https://www.courts.maine.gov/forms/ada-request-form.pdf,,,
Maine,DMV/Disability,Secretary of State,Disabled Parking Permit Application,Full application for vehicle/parking privileges with medical certification section.,PDF,https://www.maine.gov/sos/forms/disabledparking.pdf,,,
Maine,Education/SpecialEd,Dept. of Education,"Special Ed, IEP/504 Forms - 2025",Packet for IDEA/IEP documentation and Section 504 eligibility.,PDF,https://www.maine.gov/doe/forms/specialed-504.pdf,,,
Maine,Legal/Elder,Dept. of Health-Aging Services,Legal Intake—Elder/Disabled,"DOCX intake, legal services, and benefit dispute submissions.",DOCX,https://www.maine.gov/legalservices-intake.docx,,,
Maryland,Disability/Medical,Dept. of Health,Disability Medical Certification for Medicaid,For healthcare providers certifying eligibility for Medical Assistance (Medicaid) disability benefits.,PDF,https://health.maryland.gov/docs/medicaid/DisabilityCertificationForm.pdf,,,
Maryland,Disability/Workforce,Dept. of Labor,Disability/Workforce Training Application,Claim packet for workforce or training program access with accommodations request.,PDF,https://www.dllr.state.md.us/forms/workforce-disability-application.pdf,,,
Maryland,Vocational Rehabilitation,Division of Rehabilitation Services,Vocational Rehabilitation Intake Forms,"Full packet with VR eligibility, intake, and employment assessment.",PDF,https://dors.maryland.gov/forms/VRIntake.pdf,,,
Maryland,Disability/Legal,Judiciary,ADA Accommodation Request (Courts),Printable ADA request form for anyone interacting with Maryland courts.,PDF,https://mdcourts.gov/sites/default/files/import/legalforms/ada.pdf,,,
